000300',沪深300,日线,,,,
日期,开盘,最高,最低,收盘,成交量,成交额
1/4/2013,2551.81,2558.53,2498.88,2524.4,97988184,95579242496
1/7/2013,2518.05,2545.97,2511.6,2535.99,75167992,73167511552
1/8/2013,2534.64,2540.51,2502.49,2525.33,71837104,76498059264
1/9/2013,2518.1,2534.24,2504.3,2526.12,70231168,74233593856
1/10/2013,2525.59,2553.35,2513.73,2530.57,71085864,71159046144
1/11/2013,2533.5,2539.79,2473.7,2483.23,74239176,72775925760
1/14/2013,2474.17,2583.62,2474,2577.73,93554088,96853475328
1/15/2013,2579.12,2605.4,2576.91,2595.86,98620808,101356961792
1/16/2013,2591.37,2600.09,2540.52,2577.09,93536080,95564996608
1/17/2013,2570.71,2575.06,2539.66,2552.76,69915240,71716118528
1/18/2013,2568.68,2607.45,2553.45,2595.43,77940304,77435166720
1/21/2013,2605.64,2611.2,2582.64,2610.89,84133744,85357445120
1/22/2013,2610.38,2620.02,2578.17,2596.89,105766272,102261161984
1/23/2013,2588.2,2611.4,2576.36,2607.46,75739440,72758927360
1/24/2013,2606.42,2663.39,2564.21,2582.75,111277168,109537681408
1/25/2013,2580.87,2591.51,2567.11,2571.66,58487360,60689375232
1/28/2013,2577.27,2651.97,2577.27,2651.86,91274792,98173272064
1/29/2013,2655.37,2685.53,2646.14,2675.87,101040232,108827009024
1/30/2013,2678.42,2689.67,2662.06,2688.71,99874992,100856651776
1/31/2013,2690.95,2696.87,2671.33,2686.87,96740104,94476820480
2/1/2013,2677.18,2744.32,2671.27,2743.32,103879512,110560935936
2/4/2013,2753.68,2768.5,2731.08,2748.03,127939176,136119590912
2/5/2013,2727.92,2779.95,2725.36,2771.66,116130816,112701169664
2/6/2013,2771.9,2787.46,2765.74,2775.84,82779272,88989581312
2/7/2013,2771.53,2775.97,2722.87,2759.87,89978144,95978594304
2/8/2013,2755.64,2791.3,2747.95,2771.72,77429648,82903629824
2/18/2013,2784.06,2787.74,2731.51,2737.47,76438224,81001365504
2/19/2013,2735.04,2740.74,2674.34,2685.61,80626432,82460811264
2/20/2013,2686.09,2703.1,2665.23,2702.63,70019376,73636364288
2/21/2013,2675.74,2675.74,2584.76,2610.55,100657984,103619502080
2/22/2013,2607.64,2618.48,2591.14,2596.6,60204852,65899102208
2/25/2013,2607.14,2628.7,2590.79,2604.96,53161944,55614492672
2/26/2013,2587.37,2631.09,2564.66,2567.59,80003064,83373957120
2/27/2013,2576.05,2615.25,2569.37,2594.67,63226744,64612274176
2/28/2013,2611.93,2673.71,2594,2673.33,86922592,92235374592
3/1/2013,2671.84,2680.85,2627,2668.84,73343752,80342745088
3/4/2013,2619.41,2619.57,2528.68,2545.72,110619104,112585039872
3/5/2013,2547.88,2623.16,2541.77,2622.81,89661152,92357132288
3/6/2013,2634.87,2658.13,2620.42,2650.2,95829648,95048892416
3/7/2013,2639.78,2658.97,2592.87,2619.48,94082664,96498098176
3/8/2013,2622.67,2632.62,2601.96,2606.92,59429556,63054594048
3/11/2013,2600.28,2611.64,2574.16,2592.37,50946436,52460900352
3/12/2013,2590.38,2619.51,2530.25,2555.61,71935144,71675125760
3/13/2013,2551.73,2556.77,2515.06,2527.49,56430460,56003723264
3/14/2013,2517.75,2546.7,2514.46,2534.27,47605756,49929777152
3/15/2013,2533.72,2600.09,2504.46,2539.87,81372184,82749874176
3/18/2013,2526.08,2544.62,2499.83,2502.49,59812776,63093555200
3/19/2013,2507.39,2532.07,2491.85,2525.1,54536476,55601012736
3/20/2013,2526.97,2610.16,2526.83,2610.16,90700624,91271020544
3/21/2013,2611.58,2626.54,2598.51,2614.99,69552752,71642669056
3/22/2013,2612.26,2625.53,2603.34,2618.31,55647140,55882141696
3/25/2013,2628.4,2641.61,2607.61,2613.1,56261400,58004930560
3/26/2013,2601.96,2607.36,2554.97,2575.05,63962960,65306570752
3/27/2013,2575.73,2611.93,2566.35,2583.53,56906516,58652246016
3/28/2013,2535.99,2535.99,2495.08,2499.3,87578408,84725899264
3/29/2013,2502.78,2509.11,2482.49,2495.08,52402136,52055539712
