000651',格力电器,日线,,,,,
日期,开盘,最高,最低,收盘,成交量,成交额,成交笔数
1/4/2013,25.6,26.05,24.97,25.32,282102,716695360,14388
1/7/2013,25.32,26.36,25.25,26.36,233057,604320384,16806
1/8/2013,26.36,26.45,25.78,26,164827,429436448,11170
1/9/2013,25.92,26.19,25.71,26.07,184881,479361344,15498
1/10/2013,26.17,26.49,25.8,25.88,172755,451550848,13076
1/11/2013,26,26.19,25.76,26,168446,438031968,12500
1/14/2013,26,27.1,25.9,27.01,193115,517163520,17737
1/15/2013,27.01,27.67,26.95,27.1,129433,353625728,11068
1/16/2013,27,27.62,26.39,26.63,195550,525815872,14270
1/17/2013,26.65,27.1,26.6,26.6,145886,391064512,11321
1/18/2013,27.4,28.77,27.23,28.3,315206,879656384,19520
1/21/2013,28.52,28.97,27.9,28.71,216920,618484480,15960
1/22/2013,28.65,28.67,27.95,28.1,190817,537796992,17387
1/23/2013,27.93,28.38,27.9,28.34,119402,335694400,10133
1/24/2013,28.34,28.96,27.99,28.17,195939,556391808,15394
1/25/2013,28.22,28.95,28.16,28.29,138548,395477056,13321
1/28/2013,28.35,29.5,28.35,29.1,178219,517712192,14668
1/29/2013,29.3,29.83,28.88,29.4,164813,483359776,13088
1/30/2013,29.65,29.65,29.15,29.37,124964,366622528,13084
1/31/2013,29.45,29.49,28.8,29.27,172273,499710144,11683
2/1/2013,28.98,29.65,28.68,29.63,203345,591409152,12328
2/4/2013,29.55,29.55,28.98,29.1,170623,498193856,11115
2/5/2013,28.98,29.35,28.64,29.2,162858,471895648,12322
2/6/2013,29.25,29.25,28.66,28.81,158802,457222048,12627
2/7/2013,28.72,29.32,28.01,29.08,181289,521753696,12572
2/8/2013,28.7,29.99,28.7,29.71,215724,631830848,13694
2/18/2013,29.88,29.89,29.11,29.26,116657,343550336,12158
2/19/2013,29.38,29.38,28.41,28.52,134176,385785696,12247
2/20/2013,28.31,28.92,28.31,28.71,119627,342857632,9869
2/21/2013,28.28,28.47,27.21,28,221876,616996096,24196
2/22/2013,27.99,28.07,27.5,27.56,126146,350351872,9725
2/25/2013,27.78,28.1,27.55,28.01,132308,368680608,9667
2/26/2013,28,28.31,27.51,27.55,146652,410598944,11786
2/27/2013,27.68,27.99,27.36,27.93,115617,319903648,41514
2/28/2013,28.02,29.15,27.98,29.05,176137,504656448,14846
3/1/2013,29.05,29.75,28.91,29.66,191311,563954688,17164
3/4/2013,28.77,28.77,27.7,28.36,315518,891288192,19246
3/5/2013,28.38,28.74,28,28.29,223398,634179072,16434
3/6/2013,28.4,28.61,27.8,27.96,268398,752990336,19359
3/7/2013,27.95,27.95,27.1,27.42,243842,667458112,17181
3/8/2013,27.33,27.69,27.18,27.56,103517,284164608,8655
3/11/2013,27.4,27.75,27.16,27.65,117782,324067808,7572
3/12/2013,27.67,27.99,27.1,27.35,169744,464626304,12086
3/13/2013,27.43,27.43,26.55,26.71,130819,351590688,11215
3/14/2013,26.58,27.46,26.22,27.11,138947,374514048,13058
3/15/2013,27.11,28.2,27.01,27.8,181565,503247264,16970
3/18/2013,27.8,28,27.24,27.5,115791,318922080,11468
3/19/2013,27.67,27.7,27.02,27.24,110171,301286848,10039
3/20/2013,27.3,28.55,27.04,28.55,231916,650966848,17096
3/21/2013,28.59,29.05,28.35,29.01,153710,442315296,15490
3/22/2013,29.01,29.19,28.74,29,131582,380764640,8129
3/25/2013,29.09,29.18,28.42,28.6,94064,269738976,7772
3/26/2013,28.42,28.8,27.97,28.52,116359,330527360,10911
3/27/2013,28.5,29.55,28.5,29.03,116163,338923072,10604
3/28/2013,28.8,29.36,28.5,28.94,134230,386387264,10397
3/29/2013,28.99,29.18,28.55,28.57,70380,203148160,7052
4/1/2013,28.62,29.1,28,29.05,123632,352389056,10896
4/2/2013,28.9,29.5,28.51,28.75,122857,355567008,9719
4/3/2013,28.73,29.3,28.57,28.7,103004,297846176,7551
4/8/2013,28.45,29.17,27.68,28.95,151899,430934720,13491
4/9/2013,28.86,29.04,28.54,28.79,131948,379858016,11343
4/10/2013,28.62,28.69,26.43,27.12,537778,1462506624,29203
4/11/2013,27.14,27.15,26.65,26.72,265738,713993920,17543
4/12/2013,26.74,26.74,25.95,26.2,333428,874601536,19925
4/15/2013,26.16,26.67,26.05,26.62,190986,504333920,15105
4/16/2013,26.49,27.16,26.4,26.89,143557,384755776,12684
