300003',乐普医疗,日线,,,,,
日期,开盘,最高,最低,收盘,成交量,成交额,成交笔数
1/4/2013,9.18,9.25,9,9.1,35769,32637812,2197
1/7/2013,9.12,9.35,9.12,9.29,52031,48167876,3090
1/8/2013,9.27,9.54,9.2,9.48,60987,57406348,3851
1/9/2013,9.5,9.55,9.2,9.3,50706,47641024,2891
1/10/2013,9.3,9.43,9.2,9.38,46277,43238452,2349
1/11/2013,9.38,9.67,9.23,9.26,79404,75210136,4615
1/14/2013,9.22,9.64,9.14,9.58,73231,69508680,3623
1/15/2013,9.7,9.97,9.67,9.86,93974,92727032,5282
1/16/2013,9.86,9.9,9.53,9.76,60483,58649492,3785
1/17/2013,9.77,10.18,9.65,9.95,83024,82772576,5098
1/18/2013,10,10.13,9.81,10.06,57116,57065036,3588
1/21/2013,10.2,10.25,9.97,10.1,47950,48332128,3111
1/24/2013,9.82,9.87,9.35,9.45,104642,101100864,6080
1/25/2013,9.39,9.53,9.3,9.39,27919,26215964,1716
1/28/2013,9.46,9.57,9.4,9.52,42835,40732020,2050
1/29/2013,9.52,9.62,9.43,9.61,56103,53503512,3023
1/30/2013,9.64,10.23,9.43,10.23,109117,107962944,7066
1/31/2013,10.14,10.44,9.92,9.99,111348,113112248,7670
2/1/2013,9.86,9.99,9.68,9.94,63894,62868824,4457
2/4/2013,9.99,9.99,9.5,9.51,84577,81581104,5949
2/5/2013,9.4,9.73,9.36,9.7,42752,41119664,2765
2/6/2013,9.64,9.86,9.61,9.76,33535,32766700,2268
2/7/2013,9.76,10.12,9.74,10.03,69033,68658632,3717
2/8/2013,9.93,10.15,9.93,10.04,68921,69246112,3639
2/18/2013,10,10.4,9.98,10.35,105824,108149912,5554
2/19/2013,10.32,10.36,10.1,10.16,70496,71869936,3572
2/20/2013,10.18,10.86,10.18,10.74,137428,146280752,8323
2/21/2013,10.68,11.25,10.6,11.02,226801,249956000,12668
2/22/2013,10.98,11.06,10.8,10.89,72352,79038616,4804
2/25/2013,10.81,11.12,10.81,10.93,56928,62268072,3810
2/26/2013,10.87,11.1,10.5,10.63,78478,84639384,5522
2/27/2013,10.64,10.85,10.54,10.68,44501,47404860,2896
2/28/2013,10.68,11.26,10.62,11.26,94726,104212384,5995
3/1/2013,11.27,11.64,11.06,11.56,127946,145439328,8438
3/4/2013,11.36,11.54,10.86,11.03,108839,122120784,7211
3/5/2013,11.08,11.5,11.01,11.5,85746,97241584,6564
3/6/2013,11.56,11.99,11.45,11.52,126284,148196976,8814
3/7/2013,11.46,11.66,11.09,11.31,82967,94232736,6237
3/8/2013,11.26,11.4,10.95,10.98,50933,56882352,3993
3/11/2013,11,11.18,10.8,11.04,38277,42255280,2767
3/12/2013,11.04,11.17,10.28,10.58,69855,74520208,4940
3/13/2013,10.46,10.58,10.12,10.35,52623,54113800,3408
3/14/2013,10.29,10.48,10.25,10.37,30239,31381326,1952
3/15/2013,10.36,10.65,10.2,10.46,40000,41882508,2890
3/18/2013,10.4,10.66,10.29,10.4,28806,30084732,2319
3/19/2013,10.4,10.46,10.01,10.3,32457,33181234,2286
3/20/2013,10.3,10.65,10.22,10.65,46395,48716988,2913
3/21/2013,10.63,10.83,10.59,10.73,37760,40481576,2724
3/22/2013,10.77,10.85,10.6,10.67,30546,32712222,2191
3/25/2013,10.64,10.77,10.42,10.48,32659,34471820,2015
3/26/2013,10.21,10.26,9.71,9.74,99665,99062376,6562
3/27/2013,9.74,9.86,9.67,9.82,38765,37849976,2657
3/28/2013,9.76,9.78,9.51,9.66,28492,27416144,2184
3/29/2013,9.66,9.75,9.63,9.66,17051,16494930,1410
4/1/2013,9.7,9.93,9.7,9.86,29832,29332932,2274
4/2/2013,9.79,9.94,9.67,9.8,31081,30486648,1913
4/3/2013,9.8,9.83,9.55,9.81,26825,26095178,1510
4/8/2013,9.77,10.16,9.56,10.14,45180,45141216,2925
4/9/2013,10.15,10.18,9.99,10.12,43469,43857008,1937
4/10/2013,10.06,10.2,10.03,10.18,44928,45457064,1846
4/11/2013,10.18,10.33,10.08,10.1,20573,20960212,1422
4/12/2013,10.07,10.12,9.78,9.83,33445,33256060,1629
4/15/2013,9.76,9.79,9.44,9.51,39752,38063636,2014
4/16/2013,9.42,9.57,9.35,9.53,17766,16790720,1315
4/17/2013,9.54,9.62,9.47,9.56,18255,17400306,977
4/18/2013,9.52,9.58,9.43,9.5,19342,18367252,1449
4/19/2013,9.52,9.75,9.49,9.73,33868,32667208,2446
4/22/2013,9.69,9.99,9.65,9.98,36337,35633424,2326
4/23/2013,10,10.04,9.74,9.87,46994,46133548,2081
4/24/2013,9.85,10.25,9.75,10.19,42204,42246696,2515
4/25/2013,10.12,10.33,9.98,10.06,44712,45343948,2506
4/26/2013,10.17,10.55,9.88,10.03,54514,55653272,3600
5/2/2013,9.92,10.24,9.88,10.17,30009,30309608,1826
5/3/2013,10.24,10.5,10.12,10.4,52877,54859344,2998
5/6/2013,10.4,10.59,10.34,10.47,69107,72280952,3315
5/7/2013,10.46,10.63,10.38,10.54,42656,44873340,2441
5/8/2013,10.55,10.63,10.43,10.6,35887,37740092,2071
5/9/2013,10.64,11.19,10.55,11.09,140006,153638384,6898
5/10/2013,11.06,11.22,10.88,11.01,66864,73932992,3254
5/13/2013,11,11,10.59,10.66,61351,65846788,3081
5/14/2013,10.7,11.37,10.69,11.08,100292,110846064,5462
5/15/2013,11.15,11.76,11.1,11.75,119633,138015616,6715
5/16/2013,11.76,11.79,11.4,11.48,92408,106732976,5749
5/17/2013,11.38,11.95,11.31,11.79,78886,92070464,4801
5/20/2013,11.81,12.07,11.62,11.9,65830,78178096,3790
5/21/2013,11.9,12.56,11.78,12.41,88643,107635056,5343
5/22/2013,12.3,12.66,12.06,12.09,82383,101412848,4701
5/23/2013,12.06,12.3,11.71,11.8,71762,85671072,4476
5/24/2013,11.75,12.37,11.75,12.23,50641,61000076,3383
5/27/2013,12.2,12.65,12.15,12.49,58351,72632816,3671
5/28/2013,12.5,12.6,12.02,12.2,54011,66063796,3630
5/29/2013,12.11,12.5,12.08,12.41,45743,56293364,2666
5/30/2013,12.33,13,12.32,12.82,72885,92759584,5018
5/31/2013,12.61,13.32,12.61,13,74554,97616528,5384
6/3/2013,12.91,13.15,12.5,12.52,66114,84055584,4072
6/4/2013,12.47,12.48,11.84,11.92,79679,96134976,4397
6/5/2013,11.92,12.18,11.82,11.98,34383,41264460,2550
6/6/2013,11.96,12.09,11.75,11.98,29172,34928684,1745
6/24/2013,12.49,12.49,10.79,10.81,130647,150979872,5883
6/25/2013,10.4,11.2,9.83,11.08,72848,78153672,4269
6/26/2013,11.15,12.19,10.85,12.09,88171,102648216,5763
6/27/2013,11.95,12.56,11.75,11.76,72528,87925648,5217
6/28/2013,11.62,11.99,11.2,11.25,43503,49980936,3393
7/1/2013,11.25,11.55,11.1,11.52,36207,41013472,2536
7/2/2013,11.45,11.56,11.19,11.35,72009,81586608,4742
7/3/2013,11.35,11.43,10.9,11.28,60537,67610136,4318
7/4/2013,11.15,11.42,11.02,11.07,44008,49344920,3312
7/5/2013,11.08,11.17,10.55,10.56,65325,70618784,4380
7/8/2013,10.28,10.29,9.62,9.86,42772,42531688,3175
7/9/2013,9.85,10.14,9.8,10.08,24071,24096852,2061
7/10/2013,10.01,10.51,10,10.44,26469,27330088,2084
7/11/2013,10.59,10.66,10.35,10.58,43049,45386304,2958
7/12/2013,10.56,11.15,10.49,10.72,69109,74864888,3927
7/15/2013,10.72,11.03,10.7,10.91,50993,55660668,3254
7/16/2013,10.98,10.98,10.59,10.86,54040,58298672,3023
7/17/2013,10.8,10.92,10.6,10.62,51184,55275972,2687
7/18/2013,10.63,11.37,10.63,11.21,77758,86265312,5943
7/19/2013,11.23,11.35,10.88,10.88,61462,68730072,4920
7/22/2013,10.83,11.43,10.7,11.4,64552,72074240,4521
7/23/2013,11.46,11.73,11.3,11.55,87590,100745784,5853
7/24/2013,11.53,11.73,11.3,11.64,56269,64831616,4378
7/25/2013,11.65,11.73,10.65,10.98,70717,78986088,5045
7/26/2013,10.98,11.07,10.56,10.75,50459,54415824,3346
7/29/2013,10.62,10.73,10.26,10.26,31770,33346100,3112
7/30/2013,10.2,10.44,9.96,10.32,32066,32700608,2544
7/31/2013,10.43,10.85,10.2,10.66,39164,41325716,3036
8/1/2013,10.62,11.07,10.49,11,50392,54449260,3470
8/2/2013,10.93,11.2,10.91,10.93,44683,49357716,3075
8/5/2013,11.06,11.45,11.06,11.33,63390,71669240,4563
8/6/2013,11.3,11.38,11.09,11.31,45333,50993416,3421
8/7/2013,11.34,11.34,10.77,10.8,53080,58262528,4148
8/8/2013,10.7,11.2,10.68,10.85,49581,54561576,3566
8/9/2013,10.9,11.12,10.72,11.08,44467,48675736,3310
8/12/2013,11.1,11.25,11,11.18,54797,61006504,3429
8/13/2013,11.24,11.36,11.11,11.35,45172,50845352,3038
8/14/2013,11.36,11.49,11.2,11.35,54766,62119160,3590
8/15/2013,11.3,11.34,11.06,11.1,32833,36651548,2422
8/16/2013,11.01,11.54,10.97,11.04,48960,55052920,3853
8/19/2013,10.99,11.27,10.9,11.24,30692,34122664,2373
8/20/2013,11.21,11.85,11.19,11.78,110124,128082424,7549
8/21/2013,11.74,12.41,11.66,12.11,97403,118276288,7127
