600109',国金证券,日线,,,,,
日期,开盘,最高,最低,收盘,成交量,成交额,成交笔数
1/4/2013,17.88,18.3,17.3,17.55,367826,650718976,23462
1/7/2013,17.41,17.7,17.28,17.62,245502,429495200,16303
1/8/2013,17.5,17.58,17,17.19,297178,510156832,19644
1/9/2013,17.11,17.5,16.8,17.22,231202,396661504,17448
1/10/2013,17.14,17.97,17.09,17.47,316941,555443136,22060
1/11/2013,17.35,17.47,16.5,16.59,255083,432408704,19776
1/14/2013,16.54,18.25,16.54,18.25,510438,907030016,27498
1/15/2013,18.44,18.62,18.03,18.21,406131,741620288,25346
1/16/2013,18.19,18.33,17.63,18.23,307537,552814848,20813
1/17/2013,18.08,18.7,17.8,18.29,333160,609295552,24300
1/18/2013,18.28,18.98,18.18,18.44,290416,539385664,21543
1/21/2013,18.35,18.62,18.11,18.43,176577,323993696,14023
1/22/2013,18.43,18.69,18,18.17,239267,438059296,19612
1/23/2013,18.05,18.1,17.5,17.99,197873,352780672,15419
1/24/2013,17.88,19.09,17.75,17.87,423931,781960960,30627
1/25/2013,17.73,17.97,17.2,17.35,190517,334395808,16350
1/28/2013,17.36,18.27,17.36,18.21,264835,475575680,19308
1/29/2013,18.21,18.95,18,18.41,304234,563294336,21123
1/30/2013,18.4,18.97,17.96,18.2,256859,473309920,18426
1/31/2013,18.3,18.8,18.02,18.39,173087,317985504,14287
2/1/2013,18.31,19.25,18.05,18.95,388842,730702464,25940
2/4/2013,19.02,19.33,18.34,18.42,333338,624954816,22572
2/5/2013,18.16,18.22,17.88,18.04,240081,432818208,17126
2/6/2013,18.18,18.8,17.97,18.42,210624,388534656,16310
2/7/2013,18.3,19.35,18.08,19.12,346318,650228992,24252
2/8/2013,19.05,19.2,18.64,19.09,225605,427651520,14203
2/18/2013,19.1,19.1,18.37,18.38,152901,285127424,13463
2/19/2013,18.34,18.53,18.08,18.23,128018,233446832,11583
2/20/2013,18.21,18.35,17.88,18.25,111742,202481168,10100
2/21/2013,18.08,18.08,16.88,17.14,166812,290396544,17498
2/22/2013,17.1,17.3,16.84,16.94,87697,149981296,8421
2/25/2013,17.18,17.5,17.15,17.21,92413,159925456,8877
2/26/2013,17,17.58,16.67,16.92,140695,241937504,14652
2/27/2013,17.08,17.65,17.05,17.39,131399,228044592,11249
2/28/2013,17.55,17.98,17.22,17.93,206387,364947968,15995
3/1/2013,17.9,18.09,17.49,17.75,151855,270710112,12489
3/4/2013,17.4,17.4,16.62,16.77,168696,286141504,14479
3/5/2013,16.76,17.5,16.75,17.47,182964,313472416,13466
3/6/2013,17.4,17.6,17.25,17.35,149251,259885712,11355
3/7/2013,17.59,17.68,16.8,17.02,145763,252421088,11946
3/8/2013,17.04,17.19,16.71,16.73,81310,137565840,7519
3/11/2013,16.67,16.89,16.4,16.5,76576,127176136,6625
3/12/2013,16.5,16.89,16,16.32,121222,198940144,10857
3/13/2013,16.33,16.4,15.8,15.92,101583,162759248,7829
3/14/2013,15.85,16.25,15.85,15.94,72107,115592520,5864
