600171',上海贝岭,日线,,,,,
日期,开盘,最高,最低,收盘,成交量,成交额,成交笔数
1/4/2013,4.79,4.81,4.63,4.69,80358,37834188,3611
1/7/2013,4.69,4.76,4.65,4.75,72259,33968608,3395
1/8/2013,4.75,4.82,4.71,4.81,113326,54186060,4699
1/9/2013,4.81,4.88,4.75,4.81,96242,46413056,4221
1/10/2013,4.81,4.92,4.78,4.86,92754,44932536,3760
1/11/2013,4.86,5.03,4.8,4.81,181159,89145624,7323
1/14/2013,4.8,5.02,4.67,4.95,161085,78085512,6523
1/15/2013,4.95,5.12,4.92,5.03,134241,67521544,5505
1/16/2013,5.03,5.07,4.95,5.06,99527,49921448,4411
1/17/2013,5.02,5.07,4.94,4.97,77073,38514672,3380
1/18/2013,4.97,5.12,4.93,5.1,105024,52836068,4439
1/21/2013,5.11,5.13,5.05,5.09,62952,32015664,2815
1/22/2013,5.11,5.12,4.98,5.01,73800,37111016,3334
1/23/2013,4.98,5.09,4.87,5.08,86534,42993420,4093
1/24/2013,5.05,5.14,4.89,4.91,116025,58237764,4854
1/25/2013,4.9,4.94,4.78,4.8,57717,27921032,2670
1/28/2013,4.8,4.93,4.79,4.92,41652,20310126,1921
1/29/2013,4.9,5.04,4.9,5.02,69676,34548328,2844
1/30/2013,5.03,5.1,4.95,5.04,90230,45454216,3439
1/31/2013,5.04,5.26,4.98,5.1,157870,80573672,6298
2/1/2013,5.05,5.14,5.01,5.1,75092,38178520,3352
2/4/2013,5.1,5.14,4.99,5.05,80088,40520520,3361
2/5/2013,5.02,5.06,4.95,5.04,54139,27072576,2538
2/6/2013,5.07,5.12,5.03,5.1,62159,31570350,2544
2/7/2013,5.1,5.11,5.02,5.06,45885,23203698,2043
2/8/2013,5.07,5.18,5.03,5.13,79245,40641780,3371
2/18/2013,5.19,5.32,5.18,5.22,134535,70583296,6102
2/19/2013,5.19,5.29,5.13,5.18,82530,42866556,3909
2/20/2013,5.15,5.26,5.15,5.25,67903,35416568,3053
2/21/2013,5.23,5.24,5.07,5.1,86631,44443908,3822
2/22/2013,5.08,5.13,5.02,5.03,59208,30036888,2800
2/25/2013,5.02,5.1,5.01,5.07,44582,22547396,1993
2/26/2013,5.06,5.1,4.9,4.91,55364,27845256,2920
2/27/2013,4.94,4.99,4.86,4.91,42892,21108004,2463
2/28/2013,4.95,5.07,4.95,5.05,56778,28480382,2705
3/1/2013,5.05,5.22,5.05,5.21,112002,57550284,4894
3/4/2013,5.2,5.2,4.96,5.06,96221,48770004,4240
3/5/2013,5.05,5.32,5.05,5.27,124699,64999696,5795
3/6/2013,5.26,5.43,5.24,5.32,155459,83303496,6378
3/7/2013,5.32,5.33,5.12,5.2,87557,45791008,4107
3/8/2013,5.2,5.31,5.14,5.21,52302,27353436,2603
3/11/2013,5.2,5.33,5.17,5.24,43760,22995166,2131
3/12/2013,5.24,5.28,4.96,5.04,93767,47784560,4147
3/13/2013,5.01,5.07,4.92,5.02,44311,22141056,2205
3/14/2013,5.03,5.32,5.01,5.31,140247,73144296,6225
3/15/2013,5.31,5.33,5.16,5.21,119121,62583284,4747
3/18/2013,5.21,5.4,5.15,5.38,156065,82610968,6420
3/19/2013,5.32,5.43,5.28,5.42,157715,84622232,6994
3/20/2013,5.41,5.49,5.33,5.48,150703,81519672,6867
3/21/2013,5.43,5.5,5.37,5.42,138865,75137008,5552
3/22/2013,5.4,5.41,5.31,5.35,85670,45793032,3783
3/25/2013,5.34,5.45,5.3,5.38,69599,37446144,2986
3/26/2013,5.37,5.38,5.2,5.26,79247,41592032,3678
3/27/2013,5.26,5.33,5.2,5.27,58181,30525838,2600
3/28/2013,5.21,5.21,5.01,5.03,79917,40845776,3662
3/29/2013,5.05,5.09,5.01,5.08,48741,24651008,2289
4/1/2013,5.08,5.16,5.08,5.13,40772,20884816,1801
4/2/2013,5.13,5.14,4.62,4.83,146950,71931232,6554
4/3/2013,4.82,4.84,4.67,4.71,52074,24744036,2734
4/8/2013,4.65,4.67,4.5,4.65,56807,26004396,2542
4/9/2013,4.67,4.77,4.66,4.77,49454,23330852,2283
4/10/2013,4.76,4.79,4.67,4.72,32573,15385253,1557
4/11/2013,4.75,4.83,4.65,4.66,36454,17302534,1715
4/12/2013,4.67,4.69,4.57,4.62,29558,13678507,1477
4/15/2013,4.62,4.63,4.52,4.53,25409,11545722,1302
4/16/2013,4.5,4.61,4.45,4.6,25938,11742398,1408
4/17/2013,4.58,4.66,4.58,4.65,23233,10719486,1151
4/18/2013,4.6,4.83,4.6,4.77,64332,30434540,2821
4/19/2013,4.76,4.82,4.71,4.79,54593,26101928,2408
4/22/2013,4.73,4.78,4.7,4.76,42776,20234780,1993
4/23/2013,4.79,5.13,4.77,4.96,242350,119754008,10718
4/24/2013,4.92,5.07,4.87,5.03,135156,67501144,5556
