600327',大东方,日线,,,,,
日期,开盘,最高,最低,收盘,成交量,成交额,成交笔数
1/4/2013,4.61,4.65,4.55,4.61,44210,20358540,1288
1/7/2013,4.59,4.73,4.56,4.7,63075,29381828,1950
1/8/2013,4.7,4.72,4.57,4.65,54485,25241724,1648
1/9/2013,4.62,4.7,4.61,4.66,46566,21664796,1563
1/10/2013,4.66,4.79,4.61,4.73,86123,40399288,2609
1/11/2013,4.7,4.73,4.5,4.51,57594,26541068,2194
1/14/2013,4.5,4.64,4.45,4.62,71567,32770120,1871
1/15/2013,4.62,4.72,4.6,4.7,70461,32857386,2338
1/16/2013,4.7,4.73,4.61,4.73,59199,27706238,1906
1/17/2013,4.73,4.82,4.64,4.67,51017,24098232,2019
1/18/2013,4.66,4.74,4.62,4.73,38265,17937592,1535
1/21/2013,4.73,4.91,4.71,4.87,94860,45924748,3681
1/22/2013,4.85,4.87,4.66,4.72,59035,28165194,2190
1/23/2013,4.71,4.72,4.6,4.7,36499,16999124,1615
1/24/2013,4.69,4.76,4.52,4.55,43537,20197720,1797
1/25/2013,4.55,4.59,4.51,4.53,22306,10121339,884
1/28/2013,4.52,4.6,4.52,4.59,80771,36841264,2039
1/29/2013,4.59,4.61,4.56,4.59,82194,37675952,2004
1/30/2013,4.59,4.59,4.5,4.59,71687,32630938,2120
1/31/2013,4.58,4.65,4.49,4.53,99601,45277948,2259
2/1/2013,4.5,4.54,4.45,4.54,80806,36262088,2543
2/4/2013,4.53,4.56,4.47,4.49,71405,32171712,1878
2/5/2013,4.49,4.54,4.43,4.52,57426,25772920,1798
2/6/2013,4.52,4.58,4.51,4.54,59114,26880472,2100
2/7/2013,4.54,4.58,4.52,4.57,43817,19947532,1471
2/8/2013,4.56,4.72,4.56,4.68,110265,51289344,3399
2/18/2013,4.7,4.91,4.7,4.86,233091,112607376,7594
2/19/2013,4.88,4.96,4.76,4.91,141481,69103024,5116
2/20/2013,4.87,4.91,4.81,4.89,87536,42636976,2818
2/21/2013,4.87,4.87,4.7,4.72,96691,46207372,3009
2/22/2013,4.74,4.83,4.64,4.67,70554,33555428,2455
2/25/2013,4.68,4.73,4.63,4.66,70109,32778852,2036
2/26/2013,4.62,4.68,4.56,4.57,54848,25271704,2212
2/27/2013,4.57,4.62,4.51,4.56,38946,17775258,1316
2/28/2013,4.57,4.69,4.56,4.69,40138,18590868,1506
3/1/2013,4.7,4.71,4.56,4.61,94280,43529820,2643
3/4/2013,4.58,4.58,4.33,4.37,92489,41258488,3287
3/5/2013,4.37,4.45,4.36,4.44,54795,24160024,1587
3/6/2013,4.44,4.57,4.42,4.56,80985,36410872,2117
3/7/2013,4.55,4.58,4.46,4.52,45618,20652642,1615
3/8/2013,4.53,4.59,4.5,4.55,43162,19618076,1333
3/11/2013,4.55,4.63,4.5,4.63,56111,25735672,1822
3/12/2013,4.8,5.09,4.76,5.04,740431,370614656,22903
3/13/2013,4.81,4.96,4.71,4.86,364098,176851376,10966
3/14/2013,4.86,5.09,4.79,5.01,286173,141304992,9968
3/15/2013,5,5.39,4.94,5.3,485121,253756544,19550
3/18/2013,5.25,5.45,5.14,5.31,275805,145005248,12002
3/19/2013,5.25,5.25,4.93,5.06,203734,103628248,9207
3/20/2013,5.04,5.33,5.01,5.3,215584,112058528,8580
3/21/2013,5.26,5.45,5.16,5.23,251603,133444112,10103
3/22/2013,5.17,5.25,5.13,5.2,121771,63151984,5163
3/25/2013,5.19,5.37,5.17,5.22,136785,71857672,5269
3/26/2013,5.17,5.36,5.09,5.22,116128,60483844,4354
3/27/2013,5.21,5.29,5.11,5.13,128582,66870056,4806
3/28/2013,5.06,5.12,4.84,4.86,129785,64572284,5213
3/29/2013,4.82,4.9,4.76,4.9,88184,42678072,3344
4/1/2013,4.9,4.92,4.76,4.8,105524,50950456,3202
4/2/2013,4.8,4.84,4.68,4.7,90554,43023160,3078
4/3/2013,4.71,4.76,4.6,4.75,78109,36485464,3269
4/8/2013,4.67,4.9,4.6,4.9,91669,43629200,3584
4/9/2013,4.89,4.95,4.76,4.82,117087,56614352,3678
4/10/2013,4.79,4.86,4.65,4.74,74759,35584700,2574
4/11/2013,4.76,4.78,4.65,4.68,55264,26054378,1951
4/12/2013,4.7,4.7,4.51,4.54,75050,34522196,2748
4/15/2013,4.51,4.57,4.43,4.55,38212,17211800,1666
4/16/2013,4.51,4.59,4.46,4.57,40103,18115056,1523
4/17/2013,4.57,4.57,4.47,4.53,30400,13745807,1246
4/18/2013,4.53,4.59,4.5,4.53,26029,11823396,1120
4/19/2013,4.53,4.73,4.53,4.64,64676,29963520,2409
4/22/2013,4.6,4.68,4.58,4.67,44351,20476258,1735
