600618',氯碱化工,日线,,,,,
日期,开盘,最高,最低,收盘,成交量,成交额,成交笔数
1/4/2013,8.24,8.26,8,8.09,32476,26317436,2332
1/7/2013,8.08,8.13,7.98,8.12,33858,27301356,2198
1/8/2013,8.15,8.35,8.07,8.22,54780,44961624,3965
1/9/2013,8.17,8.37,8.12,8.26,62224,51531040,4222
1/10/2013,8.27,8.43,8.2,8.29,49797,41379440,3616
1/11/2013,8.27,8.27,7.86,7.86,64540,52006444,5174
1/14/2013,7.77,8.36,7.66,8.28,107347,87392488,6709
1/15/2013,8.24,8.45,8.2,8.41,87414,73049176,5865
1/16/2013,8.39,8.44,8.18,8.34,53660,44586344,3800
1/17/2013,8.35,8.49,8.24,8.37,54293,45562680,3974
1/18/2013,8.37,8.75,8.28,8.61,93881,79998408,6765
1/21/2013,8.6,8.62,8.46,8.57,46351,39642864,3565
1/22/2013,8.54,8.88,8.51,8.62,91969,79804920,6641
1/23/2013,8.62,8.68,8.31,8.46,55896,47241748,4080
1/24/2013,8.42,8.54,8.08,8.17,53698,44566536,4300
1/25/2013,8.15,8.2,8.05,8.11,22685,18439440,1875
1/28/2013,8.12,8.27,8.12,8.27,27286,22420800,1947
1/29/2013,8.27,8.58,8.22,8.44,51760,43531924,4201
1/30/2013,8.43,8.56,8.31,8.39,54747,46253900,4226
1/31/2013,8.36,8.68,8.36,8.55,64214,54819240,4862
2/1/2013,8.5,8.6,8.46,8.51,41132,35051384,3037
2/4/2013,8.54,8.64,8.28,8.36,40194,33854720,3104
2/5/2013,8.32,8.43,8.21,8.34,36011,29965592,2614
2/6/2013,8.31,8.58,8.31,8.47,43105,36563240,3055
2/7/2013,8.5,8.64,8.44,8.58,45463,38874480,3192
2/8/2013,8.53,8.66,8.53,8.57,37471,32172580,2550
2/18/2013,8.57,8.74,8.54,8.65,50377,43481432,3379
2/19/2013,8.65,8.72,8.44,8.52,45579,39175928,3323
2/20/2013,8.51,8.78,8.46,8.77,61435,53266040,4356
2/21/2013,8.7,8.7,8.47,8.56,44925,38513204,3101
2/22/2013,8.55,8.65,8.44,8.49,34986,29838478,2313
2/25/2013,8.53,8.61,8.47,8.6,29885,25587488,1864
2/26/2013,8.56,8.83,8.45,8.63,70952,61573560,4904
2/27/2013,8.59,8.69,8.45,8.55,38934,33305724,2724
2/28/2013,8.58,8.84,8.47,8.8,97542,85057416,5757
3/1/2013,9.31,9.68,9.15,9.3,290329,272660640,18969
3/4/2013,8.99,9.35,8.85,9,148070,134895152,10436
3/5/2013,9.02,9.58,9.01,9.35,149479,139411424,10191
3/6/2013,9.33,9.54,9.16,9.36,120320,112556040,8169
3/7/2013,9.3,9.34,8.88,9.05,91272,83135248,7067
3/8/2013,9.08,9.1,8.75,8.76,58119,51480812,4873
3/11/2013,8.67,8.84,8.66,8.74,28781,25223620,2517
3/12/2013,8.71,8.83,8.23,8.36,58552,49557600,4881
3/13/2013,8.4,8.4,8,8.17,36234,29559048,3163
3/14/2013,8.12,8.24,8.12,8.19,23557,19264228,1831
3/15/2013,8.23,8.34,8.03,8.15,30767,25221436,2370
3/18/2013,8.14,8.17,7.96,7.97,26346,21214136,2255
3/19/2013,7.97,8.07,7.85,8.02,23531,18799472,1814
