600660',福耀玻璃,日线,,,,,
日期,开盘,最高,最低,收盘,成交量,成交额,成交笔数
1/4/2013,8.78,8.94,8.68,8.7,135353,118720072,7198
1/7/2013,8.7,8.8,8.47,8.53,142186,122283272,7015
1/8/2013,8.5,8.54,8.36,8.53,131931,111679184,6834
1/9/2013,8.5,8.53,8.38,8.46,110511,93353624,5604
1/10/2013,8.45,8.58,8.4,8.57,102596,87266784,5783
1/11/2013,8.55,8.85,8.44,8.5,134505,115840000,6205
1/14/2013,8.43,8.82,8.43,8.81,142697,123903712,7292
1/15/2013,8.8,9.17,8.71,8.91,230328,205316448,11840
1/16/2013,8.89,8.89,8.6,8.71,115190,100629896,7852
1/17/2013,8.66,8.75,8.4,8.56,83050,70899920,6210
1/18/2013,8.59,8.85,8.52,8.79,139501,121286800,6394
1/21/2013,8.78,8.91,8.65,8.84,168475,148684448,6845
1/22/2013,8.84,8.84,8.65,8.67,95728,83679040,6652
1/23/2013,8.63,8.87,8.61,8.82,102284,89586688,5315
1/24/2013,8.79,8.97,8.51,8.61,195834,172274288,8428
1/25/2013,8.66,8.68,8.58,8.6,57981,50005464,3895
1/28/2013,8.6,8.8,8.58,8.64,166346,143911072,7024
1/29/2013,8.65,8.7,8.44,8.5,176448,150341168,10332
1/30/2013,8.5,8.54,8.35,8.47,175271,147646384,7766
1/31/2013,8.48,8.52,8.28,8.35,133444,111295984,7597
2/1/2013,8.34,8.45,8.33,8.42,82553,69356840,5719
2/4/2013,8.42,8.49,8.33,8.43,142585,119957280,5887
2/5/2013,8.4,8.54,8.28,8.53,317605,267841936,8894
2/6/2013,8.55,8.57,8.39,8.45,161890,137206896,6566
2/7/2013,8.42,8.75,8.41,8.72,282507,241490064,10047
2/8/2013,8.65,9.06,8.65,8.9,303594,269259488,11525
2/18/2013,8.97,9.04,8.83,8.84,157759,140702576,8764
2/19/2013,8.92,8.92,8.69,8.74,115113,100924616,6324
2/20/2013,8.75,8.89,8.72,8.82,127830,112451336,5397
