600808',马钢股份,日线,,,,,
日期,开盘,最高,最低,收盘,成交量,成交额,成交笔数
1/4/2013,2.21,2.27,2.13,2.16,815744,178377008,14970
1/7/2013,2.13,2.17,2.12,2.15,358957,76967960,5557
1/8/2013,2.13,2.16,2.12,2.14,200528,42948776,3734
1/9/2013,2.14,2.17,2.12,2.15,173535,37264664,3381
1/10/2013,2.15,2.19,2.14,2.17,239424,51966896,4304
1/11/2013,2.16,2.18,2.1,2.11,184838,39436268,4002
1/14/2013,2.1,2.17,2.09,2.16,181885,38910680,3656
1/15/2013,2.16,2.21,2.16,2.18,222934,48711192,4524
1/16/2013,2.18,2.18,2.13,2.17,183844,39666160,3632
1/17/2013,2.16,2.17,2.14,2.15,106016,22837772,2260
1/18/2013,2.15,2.19,2.14,2.18,165816,35895668,3007
1/21/2013,2.18,2.19,2.15,2.18,144785,31449200,2450
1/22/2013,2.18,2.19,2.16,2.17,137744,29876874,2313
1/23/2013,2.18,2.21,2.15,2.19,246354,53778392,3659
1/24/2013,2.18,2.19,2.13,2.15,192022,41629796,3393
1/25/2013,2.13,2.15,2.11,2.12,116362,24726684,2624
1/28/2013,2.12,2.16,2.11,2.15,127959,27403984,1969
1/29/2013,2.15,2.16,2.13,2.15,94975,20350006,1898
1/30/2013,2.15,2.18,2.13,2.17,175626,37838812,3270
1/31/2013,2.16,2.16,2.12,2.13,183855,39172360,3633
2/1/2013,2.13,2.13,2.11,2.13,116705,24762920,2441
2/4/2013,2.13,2.14,2.1,2.14,214528,45471732,3487
2/5/2013,2.13,2.16,2.11,2.16,214457,45911240,3332
2/6/2013,2.16,2.16,2.13,2.14,145905,31322394,2309
2/7/2013,2.14,2.15,2.13,2.14,94149,20143596,1705
2/8/2013,2.14,2.16,2.14,2.15,148743,31992956,2365
2/18/2013,2.15,2.16,2.14,2.15,123080,26456114,2212
2/19/2013,2.15,2.15,2.1,2.12,130712,27720588,2793
2/20/2013,2.12,2.13,2.11,2.12,115120,24406452,1876
2/21/2013,2.12,2.12,2.06,2.07,211435,44027176,4204
2/22/2013,2.07,2.08,2.06,2.07,86513,17866864,2283
2/25/2013,2.06,2.08,2.05,2.06,85530,17631728,1934
2/26/2013,2.05,2.06,2.01,2.02,99330,20253868,2701
2/27/2013,2.02,2.04,2.01,2.02,103481,20892562,2327
2/28/2013,2.02,2.06,2.02,2.05,119651,24417286,2353
3/1/2013,2.05,2.06,2.02,2.05,89703,18284858,2162
3/4/2013,2.04,2.04,1.98,2,145519,29175360,3735
3/5/2013,2,2.02,1.99,2.02,113884,22887554,2022
3/6/2013,2.02,2.05,2,2.04,192690,39126548,3916
3/7/2013,2.04,2.05,2.01,2.03,133838,27172014,2410
3/8/2013,2.03,2.05,2.01,2.03,107842,21926236,2272
3/11/2013,2.02,2.03,2.01,2.02,92476,18677372,1883
